DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),
5/31/2009 01:00:00, 11.9,117.3,  1.6, -4.4, 16.811, 27.10,  0.0,  0.0,  0.034,  35.54,  0.070, 291.04,  0.030, 180.00,  0.061, 332.59,  0.006, 341.57,  0.071, 274.83,  0.023, 235.62,  0.074, 217.33,  0.071, 199.71,  0.073, 191.93,  0.046, 141.15,  0.031, 176.31,  0.046, 166.26,  0.090, 170.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 02:00:00, 11.9,117.2,  1.6, -4.4, 16.804, 27.03,  0.0,  0.0,  0.027, 303.11,  0.042, 340.71,  0.023,  70.02,  0.016, 124.70,  0.050, 125.27,  0.012,  90.00,  0.055, 152.97,  0.085, 119.58,  0.046, 183.73,  0.032, 201.80,  0.020, 159.78,  0.018, 141.84,  0.038, 180.00,  0.047, 253.89,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 03:00:00, 11.9,117.2,  1.6, -4.4, 16.814, 27.05,  0.0,  0.0,  0.049, 171.87,  0.018, 296.57,  0.033, 261.38,  0.030, 348.31,  0.055,  26.10,  0.037,   7.70,  0.037, 350.79,  0.027, 203.75,  0.020, 147.09,  0.106,  75.31,  0.099,  76.53,  0.121,  60.90,  0.052,  49.64,  0.052, 270.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 04:00:00, 11.9,117.3,  1.6, -4.4, 16.769, 27.54,  0.0,  0.0,  0.020, 342.47,  0.039, 272.94,  0.029, 284.04,  0.042,  87.27,  0.021, 343.30,  0.009,  63.43,  0.024,  19.18,  0.003,   0.00,  0.034, 304.16,  0.071,  79.48,  0.090,  94.45,  0.011,   0.00,  0.026,  35.54,  0.090, 273.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 05:00:00, 11.9,117.4,  1.6, -4.4, 16.758, 27.49,  0.0,  0.0,  0.028,  21.04,  0.055, 208.44,  0.118, 203.52,  0.069, 199.49,  0.064, 224.37,  0.032, 104.47,  0.020,  36.87,  0.046, 297.12,  0.015, 180.00,  0.028, 188.13,  0.013, 122.47,  0.044,  75.65,  0.068, 128.40,  0.055, 194.80,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 06:00:00, 11.9,117.4,  1.6, -4.4, 16.741, 27.52,  0.0,  0.0,  0.029, 352.15,  0.054, 191.73,  0.011, 232.13,  0.034, 324.46,  0.009,  40.60,  0.027, 267.88,  0.069, 265.86,  0.092, 209.36,  0.023, 217.87,  0.031,  97.35,  0.049,  68.63,  0.016, 243.43,  0.011,  15.26,  0.188, 273.65,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 07:00:00, 11.9,117.3,  1.6, -4.4, 16.707, 27.54,  0.0,  0.0,  0.033,  15.71,  0.027,  45.00,  0.051, 105.95,  0.013,  18.43,  0.050, 308.48,  0.048, 286.93,  0.084, 263.88,  0.077, 240.44,  0.057, 284.28,  0.010, 286.70,  0.086, 287.59,  0.027, 235.71,  0.042, 270.00,  0.089, 298.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 08:00:00, 11.9,117.2,  1.6, -4.4, 16.673, 27.61,  0.0,  0.0,  0.073,   0.00,  0.007, 236.31,  0.080, 251.11,  0.031, 189.16,  0.080, 235.12,  0.068, 242.68,  0.058, 168.11,  0.051, 260.91,  0.043, 142.59,  0.057, 142.13,  0.082, 181.40,  0.029, 213.69,  0.057, 130.06,  0.027, 188.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 09:00:00, 11.9,117.3,  1.6, -4.4, 16.646, 27.67,  0.0,  0.0,  0.024, 109.18,  0.022, 333.43,  0.071, 356.78,  0.065,  88.24,  0.079, 349.11,  0.041, 226.97,  0.050, 163.74,  0.072, 149.17,  0.090, 124.57,  0.040, 140.01,  0.037, 167.47,  0.032, 223.73,  0.060, 196.34,  0.041, 157.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/31/2009 10:00:00, 11.9,117.3,  1.6, -4.4, 16.637, 27.71,  0.0,  0.0,  0.078, 315.00,  0.019, 205.20,  0.040, 206.57,  0.011, 303.69,  0.035, 106.39,  0.045, 117.70,  0.030, 197.24,  0.079, 213.69,  0.050, 219.37,  0.005, 201.80,  0.046, 271.25,  0.087, 227.33,  0.093, 178.15,  0.066, 163.22,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
