DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),
3/30/2007 23:00:00, 11.8,142.7,  4.3, -6.7, 16.744, 26.96,  0.0,  0.0,  0.036, 337.01,  0.004, 345.96,  0.030,  93.81,  0.045,  59.47,  0.019, 351.03,  0.034, 298.07,  0.029,  90.00,  0.062, 117.80,  0.085, 208.07,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 00:00:00, 11.8,142.7,  4.3, -6.7, 16.726, 26.95,  0.0,  0.0,  0.017, 280.01,  0.025, 143.13,  0.042, 111.04,  0.037, 107.45,  0.014, 265.91,  0.032, 172.87,  0.038, 169.29,  0.034, 155.70,  0.054, 236.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 01:00:00, 11.8,142.8,  4.3, -6.7, 16.716, 26.93,  0.0,  0.0,  0.060, 337.31,  0.011, 264.81,  0.016, 352.87,  0.032,  32.20,  0.016, 108.43,  0.008, 113.20,  0.041, 133.03,  0.026, 177.80,  0.126, 261.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 02:00:00, 11.8,142.7,  4.3, -6.7, 16.723, 26.89,  0.0,  0.0,  0.065, 270.00,  0.045, 288.03,  0.039, 265.60,  0.016, 296.57,  0.043, 173.37,  0.018, 157.62,  0.033, 180.00,  0.019, 227.12,  0.052, 237.53,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 03:00:00, 11.8,142.7,  4.3, -6.7, 16.734, 26.84,  0.0,  0.0,  0.034, 229.76,  0.011,  10.30,  0.023, 205.46,  0.039, 299.20,  0.040, 268.57,  0.032, 277.13,  0.055, 123.11,  0.044, 181.30,  0.098, 272.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 04:00:00, 11.8,142.8,  4.3, -6.7, 16.774, 26.82,  0.0,  0.0,  0.017, 210.96,  0.026, 180.00,  0.011, 236.31,  0.013, 206.57,  0.027, 126.03,  0.023, 293.20,  0.019, 180.00,  0.021, 253.30,  0.116, 268.03,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 05:00:00, 11.8,142.7,  4.3, -6.7, 16.802, 26.82,  0.0,  0.0,  0.047, 303.69,  0.030,  78.31,  0.047, 165.07,  0.041, 157.17,  0.048, 176.42,  0.064, 143.84,  0.062, 144.78,  0.016, 190.62,  0.066, 285.71,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 06:00:00, 11.8,142.7,  4.3, -6.7, 16.835, 26.80,  0.0,  0.0,  0.042, 276.79,  0.033, 185.19,  0.016, 209.74,  0.043, 209.58,  0.050, 200.96,  0.048, 148.63,  0.038, 193.67,  0.036, 212.35,  0.061, 290.22,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 07:00:00, 11.8,142.8,  4.3, -6.7, 16.861, 26.78,  0.0,  0.0,  0.028, 272.05,  0.026, 193.50,  0.017, 193.24,  0.007, 285.95,  0.042, 253.30,  0.043, 182.66,  0.043, 176.01,  0.030, 174.29,  0.055, 234.58,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 08:00:00, 11.8,142.7,  4.3, -6.7, 16.868, 26.78,  0.0,  0.0,  0.011, 322.13,  0.014, 294.78,  0.008, 135.00,  0.009, 251.57,  0.030,  46.33,  0.029, 236.31,  0.015, 208.30,  0.014, 225.00,  0.097, 260.54,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/31/2007 09:00:00, 11.8,142.7,  4.3, -6.7, 16.866, 26.80,  0.0,  0.0,  0.071, 261.87,  0.028, 337.07,  0.026,  54.46,  0.021,  41.19,  0.033, 291.16,  0.036,  26.57,  0.029,  74.05,  0.059, 103.80,  0.051, 232.22,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
